source_id,source_title,source_type,issuing_organisation,source_url,publication_date,retrieved_date,authority_level,notes
SRC0001,University of Moratuwa BScHons IT official programme page,Official Programme Page,University of Moratuwa,https://www.uom.lk/itfac/education/undergraduate/it,,2026-08-08,Primary Official Source,Used for programme structure admission criteria SLQF level and medium of instruction
SRC0002,University of Moratuwa academic programmes page,Official Academic Programme Directory,University of Moratuwa,https://uom.lk/eap/academicprograms,,2026-08-08,Primary Official Source,Used to verify programme title duration and course code
SRC0003,University of Moratuwa Universities Act Gazette record,Government Gazette,Government of Sri Lanka,https://www.ugc.ac.lk/downloads/OrdersAndOrdinances/UniversityOfMoratuwa/2024_11_29/English.pdf,2024-11-29,2026-08-08,Primary Legal Source,Confirms University of Moratuwa status under the Universities Act framework
SRC0004,UGC University Admissions Handbook 2025/2026,Official Admissions Handbook,University Grants Commission Sri Lanka,https://www.ugc.ac.lk/downloads/admissions/Handbook_2025_26/student_handbook_english.pdf,,2026-08-11,Primary Regulatory Source,Used to verify Computer Science admission requirements and programme availability
SRC0005,University of Colombo Undergraduate Programmes,Official Programme Directory,University of Colombo,https://cmb.ac.lk/undergraduate-programmes,,2026-08-11,Primary Official Source,Confirms BSc in Computer Science under UCSC
SRC0006,University of Moratuwa BSc Honours in Artificial Intelligence official programme page,Official Programme Page,University of Moratuwa,https://uom.lk/itfac/bachelor-science-honours-artificial-intelligence,,2026-08-11,Primary Official Source,Used to verify programme title provider programme purpose and current availability
SRC0007,ICTA National IT-BPM Workforce Survey,National Workforce Survey,Information and Communication Technology Agency of Sri Lanka,https://www.icta.lk/projects/capacity-building/national-it-bpm-workforce-survey,,2026-08-17,Primary Government Industry Source,Used to support Sri Lankan ICT workforce demand skills supply-gap and future-role evidence
SRC0008,ICTA National IT-BPM Workforce Survey Report,Government Workforce Report,Information and Communication Technology Agency of Sri Lanka,https://www.icta.lk/resources/monitoring-and-evaluation/monitoring-and-evaluation-reports,,2026-08-17,Primary Government Industry Source,Used to support ICT workforce composition software engineering employment-category and workforce-demand evidence
SRC0009,IIT International Foundation official programme page,Official Programme Page,Informatics Institute of Technology,https://www.iit.ac.lk/foundation/,,2026-08-18,Primary Official Source,Used to verify IIT International Foundation Level 3 status pathways NQual awarding relationship and Ofqual-regulated status
SRC0011,IIT Academic Partners official page,Official Academic Partners Page,Informatics Institute of Technology,https://www.iit.ac.lk/about/academic-partners/,,2026-08-18,Primary Official Source,Used to verify IIT academic partnerships with University of Westminster and Robert Gordon University
SRC0010,IIT Computing Foundation progression page,Official Programme Page,Informatics Institute of Technology,https://www.iit.ac.lk/foundation/it/,,2026-08-19,Primary Official Source,Used to verify Computing Foundation academic progression destinations and the additional AI and Data Science progression conditions
SRC0012,IIT BEng Honours Software Engineering official programme page,Official Programme Page,Informatics Institute of Technology,https://www.iit.ac.lk/course/beng-software-engineering/,,2026-08-19,Primary Official Source,Used to verify programme title duration delivery institution awarding university and current programme availability
SRC0013,IIT BSc Honours Computer Science official programme page,Official Programme Page,Informatics Institute of Technology,https://www.iit.ac.lk/course/bsc-computer-science/,,2026-08-19,Primary Official Source,Used to verify programme title duration delivery institution awarding university and current programme availability
SRC0014,IIT BSc Honours Artificial Intelligence and Data Science official programme page,Official Programme Page,Informatics Institute of Technology,https://www.iit.ac.lk/course/bsc-artificial-intelligence-and-data-science/,,2026-08-19,Primary Official Source,Used to verify programme title duration delivery institution awarding university and current programme availability
