recognition_id,entity_type,entity_id,authority_id,recognition_type,status,valid_from,valid_until,source_id,last_verified_date,confidence_level,notes
REC0001,Institution,INS0001,Government of Sri Lanka,Established University,Verified,,,SRC0003,2026-08-09,High,University status supported by official legal evidence under the Universities Act framework
REC0002,Programme,PRG0001,University of Moratuwa,Official Programme Listing,Verified,,,SRC0001,2026-08-09,High,Programme details verified using the official University of Moratuwa programme page
REC0003,Qualification,QLF0001,University of Moratuwa,SLQF Level Declaration,Verified,,,SRC0001,2026-08-09,High,Official programme page identifies the degree programme as SLQF Level 6
REC0004,Programme,PRG0002,University Grants Commission Sri Lanka,Official University Admission Listing,Verified,,,SRC0004,2026-08-11,High,Computer Science course and eligibility verified using current UGC admissions handbook
REC0005,Programme,PRG0002,University of Colombo,Official Programme Listing,Verified,,,SRC0005,2026-08-11,High,University of Colombo programme directory lists the BSc in Computer Science under UCSC
REC0006,Programme,PRG0003,University of Moratuwa,Official Programme Listing,Verified,,,SRC0006,2026-08-11,High,Artificial Intelligence programme details verified using the official University of Moratuwa programme page
REC0007,Programme,PRG0004,Informatics Institute of Technology,Official Programme Listing,Verified,,,SRC0009,2026-08-18,High,IIT official Foundation pages verify the Computing pathway duration entry requirements and academic progression
REC0008,Qualification,QLF0004,Informatics Institute of Technology,Level and Awarding Body Declaration,Verified,,,SRC0009,2026-08-18,High,IIT states that the International Foundation uses an Ofqual-regulated Level 3 qualification awarded through NQual
REC0009,Programme,PRG0005,Informatics Institute of Technology,Official Programme Listing,Verified,,,SRC0012,2026-08-19,High,IIT official programme page verifies the Software Engineering programme and its awarding university
REC0010,Qualification,QLF0005,University of Westminster,Awarding University Declaration,Verified,,,SRC0012,2026-08-19,High,IIT identifies University of Westminster as the awarding university for BEng Honours Software Engineering
REC0011,Programme,PRG0006,Informatics Institute of Technology,Official Programme Listing,Verified,,,SRC0013,2026-08-19,High,IIT official programme page verifies the Computer Science programme and its awarding university
REC0012,Qualification,QLF0006,University of Westminster,Awarding University Declaration,Verified,,,SRC0013,2026-08-19,High,IIT identifies University of Westminster as the awarding university for BSc Honours Computer Science
REC0013,Programme,PRG0007,Informatics Institute of Technology,Official Programme Listing,Verified,,,SRC0014,2026-08-19,High,IIT official programme page verifies the Artificial Intelligence and Data Science programme and its awarding university
REC0014,Qualification,QLF0007,Robert Gordon University,Awarding University Declaration,Verified,,,SRC0014,2026-08-19,High,IIT identifies Robert Gordon University as the awarding university for BSc Honours Artificial Intelligence and Data Science
